[2025-04-24 21:28:01] [INFO    ] discord.client: logging in using static token
[2025-04-24 21:28:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-04-24 21:28:01] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-04-24 21:28:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1364901322620665896', 'username': 'bot_tim2025', 'avatar': None, 'discriminator': '7163', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-04-24 21:28:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-04-24 21:28:02] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-04-24 21:28:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1364901322620665896', 'name': 'bot_tim2025', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1364901322620665896', 'username': 'bot_tim2025', 'avatar': None, 'discriminator': '7163', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'b3080f0e86e004323eec6a29975a091f4cb43c1b4e6384493bc25c0bf1cdd19b', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1364900136400064536', 'username': 'meetj0286', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'MeetJ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-04-24 21:28:02] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-04-24 21:28:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-1pr3",{"micros":0.0}]']}}
[2025-04-24 21:28:02] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-04-24 21:28:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-04-24 21:28:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'bot_tim2025', 'primary_guild': None, 'mfa_enabled': False, 'id': '1364901322620665896', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7163', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '2236ea84e3e3c784aeb54ee88e610c15', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1364904736876134441'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'tel-aviv', 'singapore', 'hongkong'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1364901322620665896', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-1pr3",{"micros":149331,"calls":["id_created",{"micros":753,"calls":[]},"session_lookup_time",{"micros":393,"calls":[]},"session_lookup_finished",{"micros":22,"calls":[]},"discord-sessions-prd-2-13",{"micros":147824,"calls":["start_session",{"micros":135911,"calls":["discord-api-rpc-684dd849bb-ptbn8",{"micros":127388,"calls":["get_user",{"micros":40181},"get_guilds",{"micros":17162},"send_scheduled_deletion_message",{"micros":5},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":7},"pending_payments",{"micros":583},"apex_user_experiments",{"micros":1}]}]},"starting_guild_connect",{"micros":20,"calls":[]},"presence_started",{"micros":2082,"calls":[]},"guilds_started",{"micros":86,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":9704,"calls":[]},"connect_finished",{"micros":9708,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-04-24 21:28:03] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-04-24 21:28:03] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 2236ea84e3e3c784aeb54ee88e610c15).
[2025-04-24 21:28:03] [DEBUG   ] discord.client: Dispatching event connect
